NAME,STATEFP,INTPTLAT,INTPTLON
Coconino,04,+35.8296919,-111.7737277
Codington,46,+44.9662852,-097.1988375
Coffee,47,+35.4887654,-086.0782018
Coffee,13,+31.5492452,-082.8449401
Coffee,01,+31.4022580,-085.9896022
Coffey,20,+38.2364502,-095.7291373
Coke,48,+31.8771104,-100.6352305
Colbert,01,+34.7031120,-087.8014569
Cole,29,+38.5032331,-092.2800271
Coleman,48,+31.9142052,-099.3466223
Coles,17,+39.5136797,-088.2207820
Colfax,35,+36.6129638,-104.6401105
Colfax,31,+41.5749600,-097.0889449
Colleton,45,+32.8493856,-080.6564018
Collier,12,+26.1187860,-081.4009553
Collin,48,+33.1944942,-096.5794280
Collingsworth,48,+34.9633577,-100.2721351
Colonial Heights,51,+37.2616846,-077.3968043
Colorado,48,+29.5962960,-096.5089347
Colquitt,13,+31.1897075,-083.7697730
Columbia,13,+33.5520746,-082.2496077
Columbia,42,+41.0455174,-076.4042599
Columbia,05,+33.2230377,-093.2328433
Columbia,53,+46.2928505,-117.9116345
Columbia,41,+45.9419320,-123.0810790
Columbia,12,+30.2216509,-082.6233712
Columbia,36,+42.2476964,-073.6267175
Columbia,55,+43.4718818,-089.3304721
Columbiana,39,+40.7700730,-080.7784550
Columbus,37,+34.2616017,-078.6393077
Colusa,06,+39.1777385,-122.2375629
Comal,48,+29.8123773,-098.2581288
Comanche,20,+37.1814417,-099.2512929
Comanche,48,+31.9516447,-098.5496169
Comanche,40,+34.6626300,-098.4766117
Comerío,72,+18.2250315,-066.2194806
Concho,48,+31.3188831,-099.8636485
Concordia,22,+31.4698053,-091.6263150
Conecuh,01,+31.4309257,-086.9887221
Conejos,08,+37.2134065,-106.1764473
Contra Costa,06,+37.9194790,-121.9515431
Converse,56,+42.9846234,-105.5247521
Conway,05,+35.2656898,-092.6892494
Cook,13,+31.1525157,-083.4294448
Cook,17,+41.8942937,-087.6454546
Cook,27,+47.7585562,-090.3443192
Cooke,48,+33.6391964,-097.2103433
